,question,answer
233,jak pozadat o opis?,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
234,jaky je rozdil mezi aktualnim a uplnym vypisem?,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
235,jaky je poplatek za vypis a opis?,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
236,kdo muze pozadat o opis listiny?,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
237,co obsahuje opis?,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
238,co je prioritni doklad?,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
239,k cemu slouzi prioritni doklad?,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
240,osvedceni o zapisu,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
241,opis patentove listiny,"o vypis muze pozadat kdokoliv, neni treba prokazovat pravni zajem. v zadosti je treba uvest konkretni cislo prihlasky, zapisu ci patentu. vypis obsahuje aktualni udaje vedene v rejstriku k datu vydani vypisu. u ochrannych znamek je mozne krome aktualniho vypisu vydat i vypis uplny, kde jsou uvedeny i historicke udaje, vedene v rejstriku od zapisu az do soucasnosti. spravni poplatek cini sto korun ceskych za kazdou stranku. opis listiny vydane uradem, napr. osvedceni o zapisu, opis patentove listiny, lze vydat na pisemnou zadost majitele ci vlastnika nebo jeho zastupce. opis obsahuje pouze ty udaje, ktere obsahovala puvodne vydana listina. spravni poplatek cini patnact korun ceskych za stranku. v prubehu rizeni o prihlasce prumyslovych prav muze prihlasovatel pozadat o vydani prioritniho dokladu, tj. dokladu o podani prihlasky u uradu prumysloveho vlastnictvi. duvodem ve vetsine pripadu je, ze prihlasovatel zaroven pozaduje ochranu i v jine zemi a uplatnuje pravo priznani unijni priority ze zeme puvodu, tedy z ceske republiky. adresatum, kteri jsou drziteli datovych schranek, budou odesilany listiny v elektronicke podobe prostrednictvim datovych zprav."
242,je mozne se odvolat proti rozhodnuti uradu?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
243,muzu se odvolat proti rozhodnuti uradu?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
244,jaka je lhuta pro podani rozkladu?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
245,"jaky je postup, pokud nesouhlasim s rozhodnutim uradu?","proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
246,lze proti rozhodnuti uradu podat rozklad?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
247,je mozne proti rozhodnuti uradu podat rozklad?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
248,muzu proti rozhodnuti uradu podat rozklad?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
249,je mozne podat odvolani?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
250,muzu se odvolat proti rozhodnuti uradu i po zmeskane lhute?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
251,odvolani,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
252,rozklad,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
253,opravne rizeni proti rozhodnuti uradu,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
254,jak podat odvolani ?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
255,jak podat rozklad?,"proti rozhodnuti uradu, s vyjimkou rozhodnuti o prominuti zmeskani lhuty, lze podat ve lhute jednoho mesice od doruceni rozhodnuti rozklad."
256,"co mam delat, pokud dojde k poruseni meho patentu ?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
257,"co muzu delat, pokud dojde k poruseni meho patentu ?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
258,"co mam delat, pokud dojde k poruseni meho prava?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
259,"co muzu delat, pokud dojde k poruseni meho prava?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
260,"jake jsou moznosti , pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
261,"co mam delat , pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
262,"jak postupovat, pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
263,"jake jsou moznosti , kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
264,"co mam delat , kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
265,"jak postupovat, kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
266,neopravneny zasah do prav,"v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
267,kdo je opravnen vymahat prava z prumysloveho vlastnictvi?,"v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
268,kde mohu najit informace o vymahani prav?,"v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
269,kde najdu informace o vymahani prav?,"v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
270,"na koho se mohu obratit, pri porusovani prav dusevniho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
271,"na koho se mam obratit, pri porusovani prav dusevniho vlastnictvi?","v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu. vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona cislo dveste dvacet jedna z roku dvatisice sest sbirky, o vymahani prav z prumysloveho vlastnictvi. blizsi informace naleznete zde. v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva i ceska obchodni inspekce, statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv i celni sprava ceske republiky."
